"seed","NodeNames","Structure","ATC","Distance","Jaccard","GO","KEGG","PCA","RWR"
"DB00014","DB00990",0.2,0.4,0.281407035175879,0.15,0.261524894858228,0.363636363636364,0.712237605490235,0.0063620535774171
"DB00014","DB06713",0.2,0,0.318181818181818,0.222222222222222,0.352521929824561,0.333333333333333,0.665677545188729,0.00634148088056262
"DB00014","DB00957",0.26,0,0.299145299145299,0.2,0.388888888888889,0.3,0.665747350427351,0.00632012608669977
"DB00014","DB00539",0.26,0.4,0.276315789473684,0.176470588235294,0.27511961722488,0.333333333333333,0.733992847359039,0.00625004559694934
"DB00014","DB11326",0,0,0.388888888888889,0.142857142857143,0.431873258209136,0.454545454545455,0.69924481565932,0.00622360705980421
"DB00014","DB01217",0.2,0.4,0.269879518072289,0.142857142857143,0.207138026645026,0.4,0.691789548737221,0.00589213337634885
"DB00014","DB01108",0.27,0,0.289655172413793,0.166666666666667,0.37375,0.357142857142857,0.667409403119869,0.00582373374771367
"DB00014","DB12941",0.38,0.4,0.304347826086957,0.125,0.222323049001815,0.272727272727273,0.670651817464474,0.00578811690556002
"DB00014","DB06788",0.83,0.8,0.233333333333333,0.125,0.0119047619047619,0.25,0.761717619047619,0.00555714409756494
"DB00014","DB05382",0,0,0.388888888888889,0.125,0.408275122308558,0.363636363636364,0.622667708519145,0.00540435861917891
"DB00014","DB09389",0.19,0,0.306569343065693,0.166666666666667,0.308828308828309,0.272727272727273,0.564606036367205,0.0053067422749577
"DB00014","DB08871",0.3,0.2,0.3125,0.214285714285714,0.271971971971972,0.172413793103448,0.614306174992726,0.00514635943922038
"DB00014","DB06825",0.87,0.8,0.25,0.125,0.0114942528735632,0.111111111111111,0.697579808429119,0.00509243675969737
"DB00014","DB00977",0.31,0.266666666666667,0.276679841897233,0.111111111111111,0.254214559386973,0.25,0.598802007783987,0.00504096914765762
"DB00014","DB01006",0.2,0.4,0.264775413711584,0.142857142857143,0.208345064474351,0.25,0.607730796691239,0.00503480373165269
"DB00014","DB09070",0.19,0,0.313432835820895,0.111111111111111,0.393477129747883,0.125,0.500821215492002,0.00502069731707377
"DB00014","DB06718",0.27,0,0.313432835820895,0.111111111111111,0.393477129747883,0.125,0.520341215492002,0.00494269875692442
"DB00014","DB04845",0.38,0.2,0.301229508196721,0.115384615384615,0.277772539590871,0.227272727272727,0.602722658185456,0.00493231791760565
"DB00014","DB00367",0.19,0,0.293413173652695,0.133333333333333,0.235769020251779,0.333333333333333,0.529174842892212,0.00489740108430957
"DB00014","DB00947",0.32,0.4,0.295454545454545,0.166666666666667,0.180833209702544,0.142857142857143,0.582377702915856,0.00469649825377364
"DB00014","DB11828",0.47,0.2,0.308,0.2,0.24983266398929,0.0813953488372093,0.581286766725818,0.00460050477517039
"DB00014","DB01128",0.35,0.6,0.278145695364238,0.0588235294117647,0.175661375661376,0.125,0.574229537248306,0.00445818049576921
"DB00014","DB01185",0.26,0,0.277777777777778,0.0909090909090909,0.359649859943978,0.125,0.47608559052712,0.00432542432457912
"DB00014","DB06699",0.63,0.4,0.233333333333333,0.125,0.0119047619047619,0.25,0.572917619047619,0.00417908507908278
"DB00014","DB12001",0.47,0.2,0.301538461538462,0.166666666666667,0.190707070707071,0.0804597701149425,0.521666207753932,0.00406636798554431
"DB00014","DB11730",0.47,0.2,0.299465240641711,0.15,0.193796316677673,0.0731707317073171,0.50846916151977,0.00395937163893818
"DB00014","DB00431",0.04,0,0.282511210762332,0.125,0.274225457260172,0.307692307692308,0.494243739044021,0.00383796286265353
"DB00014","DB00970",0.6,0.2,0.282258064516129,0.032258064516129,0.149942726231386,0.166666666666667,0.486684435576248,0.00377332566909677
"DB00014","DB00357",0.32,0.4,0.253886010362694,0.0769230769230769,0.254681817495888,0,0.481924858890387,0.00373508281304721
"DB00014","DB00106",0.65,0.4,0.274509803921569,0.125,0.0114942528735632,0.111111111111111,0.509488043723236,0.00373178374155151
"DB00014","DB01196",0.35,0.2,0.287917737789203,0.0952380952380952,0.178937583431965,0.147058823529412,0.4738664730911,0.00367788436694428
"DB00014","DB00644",0.89,0,0.233333333333333,0.125,0.0119047619047619,0.25,0.496357619047619,0.00361147501749181
"DB00014","DB00666",0.87,0,0.233333333333333,0.125,0.0119047619047619,0.25,0.491477619047619,0.00359198337028629
"DB00027","DB01610",0.28,0,0.5,0.5,0.377896613190731,0.4,0.955597789661319,0.0294916775979856
"DB00027","DB05109",0.41,0,0.4,0.25,0.163360715955386,0.75,0.868766233887664,0.0262115650466285
"DB00027","DB06228",0.29,0,0.375,0.333333333333333,0.503030303030303,0.2,0.789583636363636,0.0240488494072547
"DB00027","DB00705",0.35,0,0.384615384615385,0.2,0.25177304964539,0.5,0.734086633933443,0.022679611402413
"DB00027","DB01137",0.39,0,0.357142857142857,0.2,0.189265536723164,0.4,0.643243260694108,0.0198041283211735
"DB00027","DB00485",0.4,0,0.4,0.2,0.282746160794941,0.3,0.657390930442638,0.019687819778573
"DB00027","DB06414",0.27,0,0.363636363636364,0.25,0.298888888888889,0.222222222222222,0.615674424242424,0.0188978137826208
"DB00027","DB00602",0.32,0,0.333333333333333,0.333333333333333,0.182716049382716,0.142857142857143,0.557842821869488,0.0164186162967846
"DB00027","DB00309",0.41,0,0.384615384615385,0.2,0.25962325962326,0.0952380952380952,0.527876545436546,0.0158672919639475
"DB00027","DB00444",0.37,0,0.363636363636364,0.125,0.168464304057524,0.285714285714286,0.515729545087681,0.0151785776378017
"DB00027","DB12401",0.25,0,0.333333333333333,0.25,0.19766081871345,0.166666666666667,0.510429590643275,0.0147246076928345
"DB00035","DB14642",0.96,0.8,0.357142857142857,0.8,0.837037037037037,1,2.17708783068783,0.0315192765529608
"DB00035","DB09059",0.83,0,0.37037037037037,0.8,0.551851851851852,1,1.69236740740741,0.0247435334476227
"DB00035","DB02638",0.96,0.8,0.365853658536585,0.6,0.388888888888889,1,1.77567685636856,0.0243336829362738
"DB00035","DB01282",0.79,0.6,0.375,0.6,0.512345679012346,0.8,1.63095975308642,0.02427250530385
"DB00035","DB00872",0.34,0,0.37037037037037,0.285714285714286,0.349382716049383,0.8,1.01026631393298,0.0140223383085777
"DB00035","DB06212",0.32,0,0.357142857142857,0.333333333333333,0.195488721804511,0.6,0.826057543859649,0.0114136331440957
"DB00035","DB01278",0.75,0,0.240384615384615,0,0.088768115942029,0.4,0.515635373467113,0.00779622836131698
"DB00035","DB08869",0.65,0.4,0.208333333333333,0,0.121659634317862,0.166666666666667,0.514121659634318,0.00756767647275869
"DB00035","DB00699",0.39,0,0.277777777777778,0.142857142857143,0.309105202973127,0.222222222222222,0.563755604290887,0.0072641450156349
"DB00035","DB00104",0.6,0.4,0.247747747747748,0,0.0120967741935484,0.285714285714286,0.50966690123303,0.00725477733371423
"DB00035","DB00565",0.34,0,0.238095238095238,0.166666666666667,0.303381642512077,0.2,0.541679530710835,0.00722633275816762
"DB00035","DB01135",0.36,0,0.258620689655172,0.142857142857143,0.295674869500373,0.2,0.531387475268438,0.00706407934107964
"DB00035","DB01604",0.45,0,0.333333333333333,0.166666666666667,0.365555555555556,0,0.517087555555556,0.0070127791614144
"DB00035","DB00447",0.46,0,0.333333333333333,0.166666666666667,0.352080200501253,0,0.51121056641604,0.00696535895593681
"DB00035","DB00249",0.28,0,0.3125,0.166666666666667,0.423037323037323,0,0.506335302445303,0.00677036518841536
"DB00035","DB01328",0.4,0,0.333333333333333,0.166666666666667,0.356247971437845,0,0.499142914638105,0.0067513516083557
"DB00035","DB00905",0.24,0,0.260416666666667,0.111111111111111,0.346543778801843,0.181818181818182,0.50364808290276,0.00655545242115064
"DB00035","DB00760",0.4,0,0.333333333333333,0.166666666666667,0.356255645889792,0,0.499147651309847,0.00651612658909041
"DB00035","DB01607",0.43,0,0.272727272727273,0.142857142857143,0.387000439174352,0,0.496529917811657,0.00650934376953296
"DB00035","DB12371",0.31,0,0.277777777777778,0.1,0.366028198989093,0.125,0.497985937749402,0.00646661367434815
"DB00035","DB00697",0.26,0,0.276073619631902,0.0714285714285714,0.194690488808136,0.375,0.500933469254169,0.00632007020475688
"DB00035","DB01613",0.1,0,0.289855072463768,0.125,0.415972222222222,0.0909090909090909,0.477165921168204,0.00604766179011953
"DB00035","DB01337",0.24,0,0.247933884297521,0.1,0.221212121212121,0.285714285714286,0.474335332546242,0.00599872909376958
"DB00080","DB01610",0.38,0.2,0.5,0.5,0.377896613190731,0.4,1.04999778966132,0.0166319262971276
"DB00080","DB05109",0.62,0,0.4,0.25,0.163360715955386,0.75,0.920006233887664,0.0141875443463764
