"DrugBankID","ENTREZID","Symbol"
"DB06151",3659,"IRF1"
"DB06151",3667,"IRS1"
"DB06151",3673,"ITGA2"
"DB06151",3674,"ITGA2B"
"DB06151",3684,"ITGAM"
"DB06151",3685,"ITGAV"
"DB06151",3688,"ITGB1"
"DB06151",3690,"ITGB3"
"DB06151",182,"JAG1"
"DB06151",3716,"JAK1"
"DB06151",3717,"JAK2"
"DB06151",3725,"JUN"
"DB06151",56479,"KCNQ5"
"DB06151",22992,"KDM2A"
"DB06151",3791,"KDR"
"DB06151",9817,"KEAP1"
"DB06151",11004,"KIF2C"
"DB06151",4254,"KITLG"
"DB06151",9365,"KL"
"DB06151",354,"KLK3"
"DB06151",4297,"KMT2A"
"DB06151",3845,"KRAS"
"DB06151",3853,"KRT6A"
"DB06151",3856,"KRT8"
"DB06151",3916,"LAMP1"
"DB06151",3939,"LDHA"
"DB06151",81631,"MAP1LC3B"
"DB06151",643246,"MAP1LC3B2"
"DB06151",4133,"MAP2"
"DB06151",5604,"MAP2K1"
"DB06151",5605,"MAP2K2"
"DB06151",5606,"MAP2K3"
"DB06151",6416,"MAP2K4"
"DB06151",5608,"MAP2K6"
"DB06151",4217,"MAP3K5"
"DB06151",5594,"MAPK1"
"DB06151",5602,"MAPK10"
"DB06151",5603,"MAPK13"
"DB06151",1432,"MAPK14"
"DB06151",5595,"MAPK3"
"DB06151",5599,"MAPK8"
"DB06151",5601,"MAPK9"
"DB06151",4137,"MAPT"
"DB06151",4170,"MCL1"
"DB06151",84515,"MCM8"
"DB06151",57721,"METTL14"
"DB06151",56339,"METTL3"
"DB06151",4255,"MGMT"
"DB06151",4288,"MKI67"
"DB06151",4292,"MLH1"
"DB06151",197259,"MLKL"
"DB06151",4312,"MMP1"
"DB06151",4319,"MMP10"
"DB06151",4322,"MMP13"
"DB06151",4313,"MMP2"
"DB06151",64386,"MMP25"
"DB06151",4314,"MMP3"
"DB06151",4316,"MMP7"
"DB06151",4318,"MMP9"
"DB06151",64112,"MOAP1"
"DB06151",4353,"MPO"
"DB06151",4436,"MSH2"
"DB06151",2956,"MSH6"
"DB06151",4493,"MT1E"
"DB06151",4494,"MT1F"
"DB06151",4495,"MT1G"
"DB06151",4496,"MT1H"
"DB06151",4499,"MT1M"
"DB06151",4501,"MT1X"
"DB06151",4502,"MT2A"
"DB06151",2475,"MTOR"
"DB06151",4586,"MUC5AC"
"DB06151",727897,"MUC5B"
"DB06151",4599,"MX1"
"DB06151",4609,"MYC"
"DB06151",79923,"NANOG"
"DB06151",4683,"NBN"
"DB06151",653361,"NCF1"
"DB06151",8031,"NCOA4"
"DB06151",4712,"NDUFB6"
"DB06151",374291,"NDUFS7"
"DB06151",4739,"NEDD9"
"DB06151",4775,"NFATC3"
"DB06151",4778,"NFE2"
"DB06151",4780,"NFE2L2"
"DB06151",4790,"NFKB1"
"DB06151",4792,"NFKBIA"
"DB06151",4793,"NFKBIB"
"DB06151",54413,"NLGN3"
"DB06151",114548,"NLRP3"
"DB06151",4843,"NOS2"
"DB06151",4846,"NOS3"
"DB06151",50507,"NOX4"
"DB06151",4869,"NPM1"
"DB06151",1728,"NQO1"
"DB06151",10002,"NR2E3"
"DB06151",2908,"NR3C1"
"DB06151",4306,"NR3C2"
"DB06151",9378,"NRXN1"
"DB06151",4908,"NTF3"
"DB06151",26471,"NUPR1"
"DB06151",100506658,"OCLN"
"DB06151",10724,"OGA"
"DB06151",94103,"ORMDL3"
"DB06151",29948,"OSGIN1"
"DB06151",11315,"PARK7"
"DB06151",142,"PARP1"
"DB06151",5110,"PCMT1"
"DB06151",27250,"PDCD4"
"DB06151",5155,"PDGFB"
"DB06151",5159,"PDGFRB"
"DB06151",5160,"PDHA1"
"DB06151",5163,"PDK1"
"DB06151",10611,"PDLIM5"
"DB06151",5241,"PGR"
"DB06151",5277,"PIGA"
"DB06151",5295,"PIK3R1"
"DB06151",11040,"PIM2"
"DB06151",65018,"PINK1"
"DB06151",5315,"PKM"
"DB06151",5328,"PLAU"
"DB06151",5329,"PLAUR"
"DB06151",5337,"PLD1"
"DB06151",5338,"PLD2"
"DB06151",5366,"PMAIP1"
"DB06151",5445,"PON2"
"DB06151",5460,"POU5F1"
"DB06151",5468,"PPARG"
"DB06151",10891,"PPARGC1A"
"DB06151",5473,"PPBP"
"DB06151",23645,"PPP1R15A"
"DB06151",5515,"PPP2CA"
"DB06151",5519,"PPP2R1B"
"DB06151",5536,"PPP5C"
"DB06151",5052,"PRDX1"
"DB06151",10935,"PRDX3"
"DB06151",5562,"PRKAA1"
"DB06151",5580,"PRKCD"
"DB06151",5591,"PRKDC"
"DB06151",5071,"PRKN"
"DB06151",23198,"PSME4"
"DB06151",5728,"PTEN"
"DB06151",5743,"PTGS2"
"DB06151",5747,"PTK2"
"DB06151",5770,"PTPN1"
"DB06151",29108,"PYCARD"
"DB06151",5810,"RAD1"
"DB06151",56852,"RAD18"
"DB06151",5890,"RAD51B"
"DB06151",5883,"RAD9A"
"DB06151",5925,"RB1"
"DB06151",5966,"REL"
"DB06151",5970,"RELA"
"DB06151",9886,"RHOBTB1"
"DB06151",860,"RUNX2"
"DB06151",6256,"RXRA"
"DB06151",6282,"S100A11"
"DB06151",6303,"SAT1"
"DB06151",6401,"SELE"
"DB06151",871,"SERPINH1"
"DB06151",83667,"SESN2"
"DB06151",6464,"SHC1"
"DB06151",23411,"SIRT1"
"DB06151",10560,"SLC19A2"
"DB06151",6506,"SLC1A2"
"DB06151",51310,"SLC22A17"
"DB06151",6583,"SLC22A4"
"DB06151",9356,"SLC22A6"
"DB06151",788,"SLC25A20"
"DB06151",6513,"SLC2A1"
"DB06151",6514,"SLC2A2"
"DB06151",6515,"SLC2A3"
"DB06151",7779,"SLC30A1"
"DB06151",23516,"SLC39A14"
"DB06151",23657,"SLC7A11"
"DB06151",4087,"SMAD2"
"DB06151",4088,"SMAD3"
"DB06151",8243,"SMC1A"
"DB06151",6615,"SNAI1"
"DB06151",6591,"SNAI2"
"DB06151",6622,"SNCA"
"DB06151",6647,"SOD1"
"DB06151",6648,"SOD2"
"DB06151",6667,"SP1"
"DB06151",6688,"SPI1"
"DB06151",8878,"SQSTM1"
"DB06151",6714,"SRC"
"DB06151",6770,"STAR"
"DB06151",6772,"STAT1"
"DB06151",6774,"STAT3"
"DB06151",7341,"SUMO1"
"DB06151",6853,"SYN1"
"DB06151",10010,"TANK"
"DB06151",23435,"TARDBP"
"DB06151",7015,"TERT"
"DB06151",80312,"TET1"
"DB06151",54790,"TET2"
"DB06151",7019,"TFAM"
"DB06151",7030,"TFE3"
"DB06151",7942,"TFEB"
"DB06151",7040,"TGFB1"
"DB06151",7041,"TGFB1I1"
"DB06151",7043,"TGFB3"
"DB06151",7046,"TGFBR1"
"DB06151",7066,"THPO"
"DB06151",7082,"TJP1"
"DB06151",7097,"TLR2"
"DB06151",7099,"TLR4"
"DB06151",7124,"TNF"
"DB06151",8797,"TNFRSF10A"
"DB06151",8795,"TNFRSF10B"
"DB06151",7132,"TNFRSF1A"
"DB06151",8743,"TNFSF10"
"DB06151",7292,"TNFSF4"
"DB06151",3842,"TNPO1"
"DB06151",7157,"TP53"
"DB06151",7186,"TRAF2"
"DB06151",57761,"TRIB3"
"DB06151",10155,"TRIM28"
"DB06151",8989,"TRPA1"
"DB06151",85480,"TSLP"
"DB06151",7105,"TSPAN6"
"DB06151",10381,"TUBB3"
"DB06151",7295,"TXN"
"DB06151",9352,"TXNL1"
