"drug1","drug2","skin","blood","lymphoma","prostate","brain","pancreas","colorectal","stomach","thyroid","breast","ovary","lung","kidney","liver","uterus","bladder"
"DB00530","DB00544",0.0304213307640673,0.036835904288655,0.0313486695268175,0.100073729755374,0.0532813369945173,0.0815242541079964,0.0408431104596465,0.0774704403572128,0.0629607401808459,0.0591968567881538,0.0688829167055198,0.0367330902287581,0.0636612503951477,0.136648570868677,0.0846936423952298,0.102228170755969
"DB00541","DB01229",0.0276117940470817,0.0371133739274234,0.0339821750265432,0.101772111602585,0.0584294989963146,0.0829386526277456,0.0421356174267666,0.0917442647436344,0.0704412588391796,0.0574021483287732,0.0642773631499178,0.0419673184849503,0.0586637337694125,0.152807066676002,0.0892125059316826,0.109709895669132
"DB00541","DB01248",0.0312057695437651,0.0392444158504344,0.0355264522118461,0.101313583900468,0.0613056558029705,0.0831671159972347,0.0429299447342126,0.0950774937178891,0.0686852868909,0.0585418593200362,0.0729610063455544,0.0441481895904292,0.0625395510769531,0.151805741315702,0.0876210299812323,0.108036236944191
"DB00541","DB00997",0.0314157289867623,0.0311603943645538,0.0339601483821905,0.0999709595995619,0.0525341315503915,0.0783171639975677,0.0390209390375424,0.0996788756013742,0.0533284738161897,0.0538372363383057,0.0707194073941229,0.0448116032635577,0.0555122188607937,0.146078150370214,0.0852642111565165,0.104468349600714
"DB00541","DB01204",0.0301361040836825,0.0309478961201988,0.0341197230043666,0.0977550877371574,0.0546553618186592,0.0768690517097408,0.0380157094303721,0.0963015299713634,0.0538204434705891,0.0485326600900271,0.0658541951141949,0.0430333397229843,0.057472945107359,0.140718629597651,0.0806390933117529,0.10378793711575
"DB00541","DB00544",0.0274830015647414,0.0296263847719505,0.0304966665706645,0.0959212832813863,0.0509352458737959,0.077147394366117,0.0365988419777601,0.0944855541812202,0.054682548276765,0.0515794351672687,0.0678987800267705,0.0408565718068181,0.0529008601291918,0.141684158582723,0.0822898721868266,0.102156788145654
"DB00544","DB00762",0.0289635375394739,0.0315391349869441,0.0362562399105781,0.0862861064439411,0.044072468261839,0.0566768572367899,0.0296593432404419,0.0886054869684498,0.0557227709190669,0.047920318882543,0.056781062821792,0.0445107175870536,0.0504102997134106,0.132519067215363,0.0784683127572017,0.104283038287027
"DB00544","DB01254",0.0298620813965209,0.0385307789880973,0.0324240574490546,0.10667053511178,0.0525375787581526,0.0723560638336354,0.0388383795689728,0.0751939539544215,0.0626710440198781,0.0611717239744056,0.0685440505072896,0.0369225287024897,0.0665686815494593,0.133082179988061,0.08417973939186,0.104464403798783
"DB00544","DB06589",0.0336750519476887,0.0429783073407359,0.0340155763250611,0.107019300956249,0.0625443674506507,0.0842226950286831,0.0453149690916717,0.0822330093750856,0.0706289893771264,0.0638693820556957,0.0720478517943806,0.0402371120247189,0.071213596779965,0.141582769603634,0.0902985695786931,0.109843526717538
"DB00544","DB00773",0.0203975960515272,0.0192581467165904,0.0229887538612739,0.0818414642174805,0.0365742129817657,0.0602874173837133,0.0248742662549419,0.0817637973449419,0.0423608792753574,0.0399914415929001,0.0544734233774955,0.0312367951880295,0.043208027520018,0.125546064460542,0.0678780260517633,0.0968430580652282
"DB00544","DB00619",0.0286913103108277,0.0307378223655259,0.0287282754450855,0.0953156978977063,0.0476716465304319,0.0722636326413559,0.0363525690970796,0.0803146565273249,0.0572605456788882,0.0554668655721884,0.0605843374672226,0.0379710603578833,0.0548480414862613,0.136686865615846,0.0792095285467047,0.104747436069215
"DB00544","DB05294",0.0304862698563704,0.0379235225208032,0.0315398352845129,0.110703626312625,0.053252151270331,0.0783569513010374,0.0404370485163019,0.0741169358176605,0.063379122402871,0.0647777012941821,0.0686085150704776,0.0373708183656207,0.069275593896807,0.133059152948881,0.0844754978925266,0.102477983479528
"DB00544","DB01204",0.0241640907974892,0.0205635011117018,0.0258179439792243,0.0836104880865853,0.0398028794922409,0.0608485582267535,0.0267201702426119,0.0856936163937096,0.0389167703652915,0.0382386149193004,0.0554705988880204,0.0344978738905013,0.0488606250335564,0.125183716556766,0.0668084803841855,0.0955358185750508
"DB00544","DB00853",0.0275903387018204,0.0213667310621015,0.0266300263741259,0.0887031009187134,0.0387130334150807,0.0639242869562537,0.0292155090144381,0.0907268259059877,0.0386228138753566,0.0449032489647796,0.0619028127444623,0.0380811623620823,0.0489197296625865,0.132190215233843,0.0727945042733018,0.0963581233385695
"DB00544","DB01262",0.0229357019509717,0.0190211715815578,0.0223875948665697,0.0836558029723891,0.0364581676886864,0.0606259991342493,0.0252254681031354,0.0847021000608601,0.0395838102196318,0.0403816029333184,0.0568921178795196,0.03336617226676,0.0444376239908466,0.124597834795203,0.0692661256817222,0.0943805130942494
